REF_AREA,TIME_PERIOD,IMF_WEO_LUR,IMF_WEO_LP,IMF_WEO_PCPIPCH,IMF_WEO_TM_RPCH,IMF_WEO_TX_RPCH,IMF_WEO_BCA_NGDPD,IMF_WEO_NGSD_NGDP,IMF_WEO_NGAP_NPGDP,IMF_WEO_NGDP_RPCH,GDP_accel_tplus1,Decel_flag_tplus1
SVK,2011,13.617,5.392,4.072,8.063,10.804,-4.872,20.926,-2.112,2.671,-1.3519999999999999,1
SVK,2012,13.908,5.404,3.731,2.273,9.264,0.929,21.309,-2.818,1.319,-0.6859999999999999,1
SVK,2013,14.175,5.411,1.459,5.498,5.893,1.851,22.939,-3.194,0.633,2.064,0
SVK,2014,13.108,5.416,-0.093,4.991,3.982,1.14,23.203,-1.764,2.697,2.4699999999999998,0
SVK,2015,11.475,5.421,-0.33,8.029,6.348,-2.083,22.627,1.302,5.167,-3.223,1
SVK,2016,9.658,5.426,-0.473,4.963,5.106,-2.734,20.166,1.183,1.944,0.9940000000000002,0
SVK,2017,8.058,5.435,1.393,4.663,4.047,-1.911,21.438,1.364,2.938,1.092,0
SVK,2018,6.508,5.443,2.531,4.069,4.687,-2.196,21.253,1.516,4.03,-1.5190000000000001,1
SVK,2019,5.717,5.45,2.771,2.177,0.788,-3.349,20.477,1.118,2.511,-5.846,1
SVK,2020,6.633,5.458,2.016,-8.268,-6.431,0.552,19.991,-3.07,-3.335,8.123999999999999,0
SVK,2021,6.808,5.46,2.828,11.629,10.419,-2.459,19.693,-0.997,4.789,-3.0389999999999997,1
SVN,1992,7.836,1.999,31.93,16.8,1.0,5.642,18.316,-2.617,2.8,0.0,0
SVN,1993,8.591,1.989,31.93,16.8,1.0,1.696,18.832,-2.617,2.8,2.5,0
SVN,1994,8.497,1.989,20.872,12.8,12.8,3.353,25.037,-2.617,5.3,-1.2000000000000002,1
SVN,1995,7.0,1.989,13.572,10.8,0.9,-0.453,23.556,-2.617,4.1,-0.8969999999999998,1
SVN,1996,6.892,1.99,9.919,2.397,2.972,0.068,23.744,-2.831,3.203,1.847,0
SVN,1997,6.917,1.987,8.342,11.69,11.634,0.108,24.868,-1.69,5.05,-1.77,1
SVN,1998,7.367,1.985,7.948,10.059,7.821,-0.662,25.144,-1.082,3.28,2.052,0
SVN,1999,7.408,1.978,6.121,8.409,2.005,-3.23,24.448,-4.773,5.332,-1.6589999999999998,1
SVN,2000,6.742,1.988,8.935,6.619,12.593,-2.766,24.787,-5.315,3.673,-0.45599999999999996,1
SVN,2001,6.192,1.99,8.38,3.623,7.181,0.04,25.36,-6.46,3.217,0.2889999999999997,0
SVN,2002,6.342,1.994,7.481,5.625,7.784,0.875,25.446,-5.195,3.506,-0.5459999999999998,1
SVN,2003,6.725,1.995,5.544,6.464,3.16,-0.81,25.082,-4.061,2.96,1.399,0
SVN,2004,6.325,1.996,3.593,13.969,13.041,-2.692,25.59,-1.897,4.359,-0.5609999999999999,1
SVN,2005,6.55,1.998,2.452,7.337,11.366,-1.8,26.19,-0.097,3.798,1.9480000000000004,0
SVN,2006,6.0,2.003,2.458,12.388,14.122,-1.836,28.27,2.882,5.746,1.234,0
SVN,2007,4.875,2.01,3.657,17.057,13.858,-4.138,28.662,7.167,6.98,-3.4700000000000006,1
SVN,2008,4.425,2.01,5.647,4.09,4.183,-5.319,27.303,8.572,3.51,-11.059000000000001,1
SVN,2009,5.9,2.032,0.839,-18.386,-16.56,-1.081,22.037,-0.72,-7.549,8.893,0
SVN,2010,7.25,2.047,1.801,6.633,10.161,-0.768,21.219,-0.575,1.344,-0.4830000000000001,1
SVN,2011,8.225,2.05,1.803,5.315,6.868,-0.836,20.667,-0.655,0.861,-3.5010000000000003,1
SVN,2012,8.9,2.055,2.597,-3.536,0.496,1.295,19.637,-4.16,-2.64,1.6110000000000002,0
SVN,2013,10.1,2.059,1.769,2.111,3.061,3.3,21.902,-5.834,-1.029,3.7969999999999997,0
SVN,2014,9.75,2.061,0.199,4.157,6.011,5.097,24.514,-4.473,2.768,-0.5579999999999998,1
SVN,2015,9.0,2.063,-0.526,4.318,4.741,3.817,23.065,-3.53,2.21,0.9820000000000002,0
SVN,2016,8.025,2.064,-0.055,6.289,6.163,4.776,23.264,-1.833,3.192,1.6239999999999997,0
SVN,2017,6.575,2.066,1.429,10.672,11.071,6.217,26.392,0.708,4.816,-0.36099999999999977,1
SVN,2018,5.125,2.067,1.739,7.086,6.155,5.874,27.447,2.884,4.455,-0.9319999999999999,1
SVN,2019,4.45,2.081,1.631,4.669,4.482,5.854,26.641,3.891,3.523,-7.763999999999999,1
SVN,2020,5.0,2.096,-0.055,-9.118,-8.529,7.222,27.462,-2.239,-4.241,12.469999999999999,0
SVN,2021,4.725,2.109,1.917,17.787,14.474,3.312,25.192,2.303,8.229,-5.767999999999999,1
